Id,Label,Type,Int Type
bloody,bloody,Words,1
river,river,Words,1
couldnt,couldnt,Words,1
fast,fast,Words,1
fill,fill,Words,1
orleans,orleans,Words,1
ofem,ofem,Words,1
take,take,Words,1
mexico,mexico,Words,1
gator,gator,Words,1
fight,fight,Words,1
alligator,alligator,Words,1
look,look,Words,1
run,run,Words,1
catch,catch,Words,1
runnin,runnin,Words,1
stand,stand,Words,1
cannon,cannon,Words,1
bean,bean,Words,1
bacon,bacon,Words,1
gun,gun,Words,1
fire,fire,Words,1
em,em,Words,1
mighty,mighty,Words,1
behind,behind,Words,1
step,step,Words,1
didnt,didnt,Words,1
weight,weight,Words,1
sidewalk,sidewalk,Words,1
dontcha,dontcha,Words,1
ya,ya,Words,1
sukey,sukey,Words,1
red,red,Words,1
dear,dear,Words,1
show,show,Words,1
billow,billow,Words,1
jackknife,jackknife,Words,1
back,back,Words,1
jenny,jenny,Words,1
form,form,Words,1
brown,brown,Words,1
yes,yes,Words,1
start,start,Words,1
macheath,macheath,Words,1
fivell,fivell,Words,1
whoo,whoo,Words,1
say,say,Words,1
lenya,lenya,Words,1
tugboat,tugboat,Words,1
miss,miss,Words,1
like,like,Words,1
babe,babe,Words,1
dja,dja,Words,1
louie,louie,Words,1
spends,spends,Words,1
bout,bout,Words,1
oozin,oozin,Words,1
body,body,Words,1
eek,eek,Words,1
shark,shark,Words,1
old,old,Words,1
wear,wear,Words,1
get,get,Words,1
lucy,lucy,Words,1
pearly,pearly,Words,1
someone,someone,Words,1
ten,ten,Words,1
right,right,Words,1
town,town,Words,1
know,know,Words,1
yeah,yeah,Words,1
